"","GEOID","peopleOfColor","peopleOfColor_pcntl","highSchool","highSchool_pcntl","percent_lowincome","percent_lowincome_pcntl","percent_lingiso","percent_lingiso_pcntl","percent_disability","percent_disability_pcntl","HH_Burdened_Pct","HH_Burdened_Pct_pcntl","socEco2","socEco_geoMean","socEco_arthMean","geoMeanDist","arthMean","arthMeanDist"
"1","08001",0.502073958682264,96.875,0.170673549286663,92.1875,0.28981704935762,39.0625,0.0516311204565936,86.4406779661017,0.10392511860085,34.375,0.347545809552418,95.3125,74.0421963276836,67.9921989009316,74.0421963276836,0.8125,0.8125,0.8125
"2","08003",0.467220293805952,90.625,0.132069005823885,84.375,0.488761421996932,90.625,0.0519311911716975,88.135593220339,0.17478088414049,76.5625,0.31418370658877,78.125,84.7413488700565,84.5495334675522,84.7413488700565,1,0.984375,0.984375
"3","08005",0.373813202415197,76.5625,0.0739644934968684,43.75,0.219696387364167,14.0625,0.043665523670018,72.8813559322034,0.0900359108657812,21.875,0.330506358612424,85.9375,52.5114759887006,43.1486606894543,52.5114759887006,0.515625,0.546875,0.546875
"4","08007",0.250618976453812,64.0625,0.0714194279080742,42.1875,0.30851711026616,46.875,0.00290201433936497,10.1694915254237,0.146584512399209,57.8125,0.325196312734722,82.8125,50.6532485875706,42.8243690479248,50.6532485875706,0.5,0.515625,0.515625
"5","08009",0.152617851310684,29.6875,0.137967769302005,85.9375,0.471632237416351,89.0625,0.02647412755716,62.7118644067797,0.201964750072233,85.9375,0.217809867629362,14.0625,61.2332274011299,50.8168449832889,61.2332274011299,0.640625,0.75,0.75
"6","08011",0.366338344565405,75,0.152404058226731,90.625,0.56762860727729,98.4375,0.0164119977362762,47.4576271186441,0.261229611041405,98.4375,0.311827956989247,76.5625,81.0866878531073,78.7938086194597,81.0866878531073,0.953125,0.9375,0.9375
"7","08013",0.215314121330719,57.8125,0.0466573756901956,26.5625,0.232399351317957,20.3125,0.0180434014833418,54.2372881355932,0.0813007876277203,18.75,0.339324255385944,90.625,44.7166313559322,37.708004973165,44.7166313559322,0.453125,0.421875,0.421875
"8","08014",0.190001748134456,48.4375,0.0259425664221139,12.5,0.136434292143481,3.125,0.0157990535129232,45.7627118644068,0.0811162928418092,17.1875,0.270768110666181,34.375,26.8979519774011,19.2671799761954,26.8979519774011,0.203125,0.15625,0.15625
"9","08015",0.155497639183942,32.8125,0.0676198034408232,40.625,0.329819359797947,54.6875,0.00668205564329972,22.0338983050847,0.170900312722884,73.4375,0.309075446482809,71.875,49.2452330508475,45.1562610003547,49.2452330508475,0.546875,0.453125,0.453125
"10","08017",0.222112537018756,59.375,0.083707025411061,51.5625,0.265758951084216,34.375,0,0,0.121533030761473,45.3125,0.152454780361757,3.125,32.2916666666667,15.6870539502874,32.2916666666667,0.125,0.21875,0.21875
"11","08019",0.136555691696844,20.3125,0.0207654419388207,4.6875,0.231057363013699,18.75,0.0152445961319681,42.3728813559322,0.0989128117672138,29.6875,0.29032992036405,51.5625,27.8954802259887,22.0775183040151,27.8954802259887,0.234375,0.171875,0.171875
"12","08021",0.566191972525603,98.4375,0.125764807045286,76.5625,0.54778093707504,96.875,0.0505812126924285,83.0508474576271,0.202991717146742,89.0625,0.256676091737355,29.6875,78.9459745762712,73.7055450859659,78.9459745762712,0.859375,0.90625,0.90625
"13","08023",0.683877340866055,100,0.191055888510324,95.3125,0.596795727636849,100,0.121993127147766,100,0.275567423230975,100,0.253150057273769,25,86.71875,78.737504277205,86.71875,0.9375,1,1
"14","08025",0.384775808133472,78.125,0.139067731135719,87.5,0.524781341107872,95.3125,0.0169100691775557,49.1525423728814,0.246131325805102,95.3125,0.239046887009992,20.3125,70.9525070621469,62.912150150511,70.9525070621469,0.796875,0.796875,0.796875
"15","08027",0.148450586264656,28.125,0.064008394543547,39.0625,0.342633692665398,65.625,0.029810298102981,64.4067796610169,0.16128355704698,70.3125,0.297651309846432,59.375,54.4844632768362,51.8300472714487,54.4844632768362,0.71875,0.625,0.625
"16","08029",0.181030137377069,45.3125,0.0934120553599129,56.25,0.41406116812711,84.375,0.0116132289825802,30.5084745762712,0.188603367186967,79.6875,0.304805183876126,64.0625,60.0326624293785,56.7755677491142,60.0326624293785,0.75,0.734375,0.734375
"17","08031",0.430590777002481,85.9375,0.122583952889463,75,0.294570726186099,42.1875,0.0457610422519328,77.9661016949153,0.0959074913741455,25,0.346383594084265,93.75,66.6401836158192,60.6327797250735,66.6401836158192,0.765625,0.78125,0.78125
"18","08033",0.102315562735595,9.375,0.061516452074392,34.375,0.333333333333333,59.375,0,0,0.192245557350565,82.8125,0.19235836627141,6.25,32.03125,14.6543171543372,32.03125,0.109375,0.203125,0.203125
"19","08035",0.176795575711075,42.1875,0.0204561676306951,3.125,0.0838078791536453,1.5625,0.00898027487594131,27.1186440677966,0.0670790349268549,10.9375,0.243005906767515,21.875,17.8010240112994,10.4953756980997,17.8010240112994,0.015625,0.03125,0.03125
"20","08037",0.285677369496125,67.1875,0.0954203119957401,59.375,0.24837778717303,26.5625,0.058995102085741,94.9152542372881,0.0502733844629555,1.5625,0.385779538825601,100,58.2671257062147,34.0972626929216,58.2671257062147,0.421875,0.71875,0.71875
"21","08039",0.116756787251537,14.0625,0.0348326925797371,18.75,0.151175987163934,4.6875,0.00269396551724138,6.77966101694915,0.0892843206118786,20.3125,0.277478448275862,39.0625,17.2757768361582,13.7126928010671,17.2757768361582,0.078125,0.015625,0.015625
"22","08041",0.303491734472637,68.75,0.0607279738863722,32.8125,0.265991954029749,35.9375,0.0172966171793388,50.8474576271186,0.123695627739688,46.875,0.325466880511986,84.375,53.2662429378531,50.3555525491451,53.2662429378531,0.625,0.5625,0.5625
"23","08043",0.208582604199912,51.5625,0.092727298944126,54.6875,0.352833688640328,67.1875,0.00338468720821662,11.864406779661,0.188854232796931,81.25,0.265814659197012,32.8125,49.8940677966102,42.6189951687094,49.8940677966102,0.484375,0.46875,0.46875
"24","08045",0.31643721371288,71.875,0.119035556714253,73.4375,0.256147294158135,31.25,0.0544701832728626,91.5254237288136,0.0784746836526772,12.5,0.29267838868732,56.25,56.1396539548023,46.8798998493104,56.1396539548023,0.59375,0.671875,0.671875
"25","08047",0.147058823529411,26.5625,0.015437741214706,1.5625,0.153346994535519,6.25,0.00285510349750178,8.47457627118644,0.0959731543624161,26.5625,0.305139186295503,65.625,22.5061793785311,12.5094305750681,22.5061793785311,0.0625,0.0625,0.0625
"26","08049",0.13022791220813,17.1875,0.056829156293367,29.6875,0.24173730205664,25,0.00407885791978246,13.5593220338983,0.050383782719937,3.125,0.295207341944256,57.8125,24.3953036723164,17.7475884381563,24.3953036723164,0.1875,0.09375,0.09375
"27","08051",0.137961393512604,21.875,0.036025567334365,20.3125,0.328398133748056,51.5625,0.00619709794437727,20.3389830508475,0.0801551775589376,15.625,0.308948004836759,70.3125,33.3377471751412,28.2838071691518,33.3377471751412,0.3125,0.234375,0.234375
"28","08053",0.100350058343057,7.8125,0.062588904694168,37.5,0.290548424737456,40.625,0,0,0.254375729288215,96.875,0.23342175066313,18.75,33.59375,16.6905741534869,33.59375,0.140625,0.25,0.25
"29","08055",0.396246378617853,79.6875,0.0797010841976455,45.3125,0.426574500768049,87.5,0,0,0.229616031818877,92.1875,0.28,43.75,58.0729166666667,32.9264110579606,58.0729166666667,0.390625,0.703125,0.703125
"30","08057",0.178429817605075,43.75,0.126283367556468,79.6875,0.31394422310757,48.4375,0.032258064516129,67.7966101694915,0.0796178343949045,14.0625,0.111111111111111,1.5625,42.5494350282486,25.125039512376,42.5494350282486,0.28125,0.390625,0.390625
"31","08059",0.213858392301874,56.25,0.0542340707551517,28.125,0.18385268720971,9.375,0.0137504089821081,40.6779661016949,0.100392033982146,31.25,0.290226619138641,50,35.9463276836158,31.3132105640248,35.9463276836158,0.359375,0.328125,0.328125
"32","08061",0.083277367360645,3.125,0.043172690763052,25,0.380821917808219,75,0.0125391849529781,33.8983050847458,0.155266757865937,62.5,0.225705329153605,15.625,35.8580508474576,24.0595898860179,35.8580508474576,0.265625,0.296875,0.296875
"33","08063",0.16103798660128,37.5,0.0826176754130033,50,0.33203855560351,57.8125,0.0499334221038615,81.3559322033898,0.160408574305855,68.75,0.205059920106525,7.8125,50.538488700565,40.980680283291,50.538488700565,0.46875,0.5,0.5
"34","08065",0.438378406693235,89.0625,0.20041164448171,100,0.379572571128884,73.4375,0.0439268867924528,74.5762711864407,0.130519480519481,53.125,0.309846698113208,73.4375,77.2731285310734,75.8411732626301,77.2731285310734,0.921875,0.875,0.875
"35","08067",0.212877663844414,54.6875,0.0424302656695015,23.4375,0.237384254955189,23.4375,0.00582729191520602,18.6440677966102,0.0900518623290901,23.4375,0.308938239882536,68.75,35.399011299435,31.0865517004316,35.399011299435,0.34375,0.28125,0.28125
"36","08069",0.173428034229025,40.625,0.0421235215621168,21.875,0.253377430466423,29.6875,0.0154793790732807,44.0677966101695,0.0966930413033823,28.125,0.323731398836675,79.6875,40.6779661016949,37.0953826543375,40.6779661016949,0.4375,0.375,0.375
"37","08071",0.475129406448435,92.1875,0.125877055817722,78.125,0.417339916217834,85.9375,0.0233883058470765,57.6271186440678,0.240909090909091,93.75,0.32383808095952,81.25,81.4795197740113,80.4781014603209,81.4795197740113,0.96875,0.953125,0.953125
"38","08073",0.279750939117706,65.625,0.088545127585551,53.125,0.336582568807339,60.9375,0.00461133069828722,16.9491525423729,0.159142857142857,67.1875,0.27733860342556,37.5,50.2206920903955,45.6688530892883,50.2206920903955,0.5625,0.484375,0.484375
"39","08075",0.210190018346092,53.125,0.0938891030881247,57.8125,0.360558139534884,70.3125,0.00440843560109615,15.2542372881356,0.141572726028022,56.25,0.276063386155129,35.9375,48.1152895480226,43.3746203574522,48.1152895480226,0.53125,0.4375,0.4375
"40","08077",0.186450837115971,46.875,0.0973796207974267,60.9375,0.322429685333838,50,0.0104305011175537,28.8135593220339,0.15024412338722,60.9375,0.311748890544524,75,53.760593220339,51.5691279460606,53.760593220339,0.703125,0.578125,0.578125
"41","08079",0.135922330097087,18.75,0.025824964131994,10.9375,0.303398058252427,45.3125,0,0,0.146844660194175,59.375,0.215258855585831,12.5,24.4791666666667,13.7966982629618,24.4791666666667,0.09375,0.109375,0.109375
"42","08081",0.164642830659534,39.0625,0.108795076972617,67.1875,0.330692917019149,56.25,0.0229221021244875,55.9322033898305,0.113047501542258,39.0625,0.29071934401789,54.6875,52.0303672316384,51.0207508990461,52.0303672316384,0.6875,0.53125,0.53125
"43","08083",0.315293550097879,70.3125,0.104933772523653,64.0625,0.360224849777089,68.75,0.0124824026278742,32.2033898305085,0.173151299504951,75,0.244955419990615,23.4375,55.6276483050847,50.9679552153621,55.6276483050847,0.65625,0.640625,0.640625
"44","08085",0.222765598645566,60.9375,0.104986963505365,65.625,0.337039644582554,62.5,0.0377479579929988,71.1864406779661,0.158195234063143,65.625,0.288098016336056,48.4375,62.3852401129944,61.9555733382764,62.3852401129944,0.78125,0.765625,0.765625
"45","08087",0.398956915284072,81.25,0.192378593521065,96.875,0.378362969033959,71.875,0.0648792093704246,98.3050847457627,0.11210602991863,37.5,0.297767203513909,60.9375,74.4570974576271,70.9061879627711,74.4570974576271,0.828125,0.828125,0.828125
"46","08089",0.435078171556389,87.5,0.131101040389497,82.8125,0.494763958111665,92.1875,0.024993524993525,61.0169491525424,0.210174547061423,90.625,0.282957782957783,45.3125,76.5757415254237,74.2361464443895,76.5757415254237,0.875,0.859375,0.859375
"47","08091",0.042952460383653,1.5625,0.022331861854064,6.25,0.190854040509501,10.9375,0.00231160425335183,5.08474576271187,0.114678899082569,40.625,0.339805825242718,92.1875,26.1078742937853,11.256208457652,26.1078742937853,0.046875,0.140625,0.140625
"48","08093",0.0953418152320836,4.6875,0.0244776710107352,7.8125,0.21516625197919,12.5,0.00086567594863656,1.69491525423729,0.128650355169692,50,0.279613331409609,42.1875,19.8137358757062,10.855683790341,19.8137358757062,0.03125,0.046875,0.046875
"49","08095",0.195695399259651,50,0.0979262672811055,62.5,0.339429928741093,64.0625,0.0509177027827117,84.7457627118644,0.124465558194774,48.4375,0.255180580224985,26.5625,56.0513771186441,52.8652666843769,56.0513771186441,0.734375,0.65625,0.65625
"50","08097",0.142253263086371,25,0.0256280537729985,9.375,0.161997086181777,7.8125,0.0245078344716754,59.3220338983051,0.0651724330669051,9.375,0.353019954466318,96.875,34.6265889830508,21.4956239917091,34.6265889830508,0.21875,0.265625,0.265625
"51","08099",0.401315577237429,82.8125,0.197434067263059,98.4375,0.395942128242445,79.6875,0.0591243862520458,96.6101694915254,0.168953615624211,71.875,0.27823240589198,40.625,78.3412782485876,75.3656515666863,78.3412782485876,0.90625,0.890625,0.890625
"52","08101",0.476703446919065,93.75,0.10973498265874,68.75,0.399802347127857,81.25,0.0127965917218646,37.2881355932203,0.194916244044875,84.375,0.330658954504462,87.5,75.4855225988701,72.4119055207679,75.4855225988701,0.84375,0.84375,0.84375
"53","08103",0.15829613095238,35.9375,0.0800602697150445,46.875,0.302190507799535,43.75,0.0126032159930465,35.5932203389831,0.120601407549584,43.75,0.205562798783138,9.375,35.8801200564972,32.0108571124462,35.8801200564972,0.375,0.3125,0.3125
"54","08105",0.500297145614107,95.3125,0.144381367311795,89.0625,0.408907246116548,82.8125,0.0522496371552975,89.8305084745763,0.202278435593828,87.5,0.264565623056189,31.25,79.294668079096,74.6226089084,79.294668079096,0.890625,0.921875,0.921875
"55","08107",0.0968789193867329,6.25,0.0338874554127876,17.1875,0.234938057382672,21.875,0.00822659585546183,25.4237288135593,0.0621616202125526,7.8125,0.303446839529314,62.5,23.5081214689266,17.5452009855511,23.5081214689266,0.171875,0.078125,0.078125
"56","08109",0.419700376628964,84.375,0.188440637075866,93.75,0.497105423522243,93.75,0.0548951048951049,93.2203389830508,0.156411818458727,64.0625,0.306643356643357,67.1875,82.7242231638418,81.7071188674535,82.7242231638418,0.984375,0.96875,0.96875
"57","08111",0.112054329371816,12.5,0.061855670103093,35.9375,0.276740237691002,37.5,0.0173010380622837,52.5423728813559,0.129032258064516,51.5625,0.256055363321799,28.125,36.3612288135593,32.9663516566491,36.3612288135593,0.40625,0.34375,0.34375
"58","08113",0.141494892954751,23.4375,0.0334233582620272,15.625,0.251744765702891,28.125,0.0357545045045045,69.4915254237288,0.0548985435080294,4.6875,0.371621621621622,98.4375,39.9673375706215,26.2911504603676,39.9673375706215,0.296875,0.359375,0.359375
"59","08115",0.155469422911283,31.25,0.130111524163568,81.25,0.381786339754816,76.5625,0.0134436401240951,38.9830508474576,0.181659388646288,78.125,0.231644260599793,17.1875,53.8930084745763,46.5508923510102,53.8930084745763,0.578125,0.59375,0.59375
"60","08117",0.155819910762393,34.375,0.0606899667771686,31.25,0.2206132879046,15.625,0.0457663753406635,79.6610169491525,0.0570512610814878,6.25,0.337186354665915,89.0625,42.7039194915254,30.1038644623058,42.7039194915254,0.328125,0.40625,0.40625
"61","08119",0.110639671523036,10.9375,0.0284865156904388,14.0625,0.222158178599366,17.1875,0.00214676034348166,3.38983050847458,0.138254150912379,54.6875,0.2903981264637,53.125,25.5649717514124,17.2157673480017,25.5649717514124,0.15625,0.125,0.125
"62","08121",0.122254189786839,15.625,0.0815621534638425,48.4375,0.329447987684187,53.125,0.00814566363200767,23.728813559322,0.111281489594743,35.9375,0.172496406324868,4.6875,30.2568855932203,23.3172668332351,30.2568855932203,0.25,0.1875,0.1875
"63","08123",0.337442061576039,73.4375,0.116816609180414,71.875,0.264996949318458,32.8125,0.0304382302643521,66.1016949152542,0.10319082542754,32.8125,0.28742440599593,46.875,53.9856991525424,51.0060129171233,53.9856991525424,0.671875,0.609375,0.609375
"64","08125",0.247489827661224,62.5,0.115700780251686,70.3125,0.388133498145859,78.125,0.0454319761668322,76.271186440678,0.115548347861342,42.1875,0.213008937437934,10.9375,56.7222810734463,47.9027917162277,56.7222810734463,0.609375,0.6875,0.6875
